ID,Name,Description,Language_ID
kavbz,ka-verbalization,,yab
detrz,Detransitivization,,yab
tavbz,ta-verbalization,,yab
macaus,ma-causativization,,yab
toponmlz,topo-nominalization,,yab
pijkedim,pïjkë-diminutivization,,yab
rinmlz,rï-nominalization,,yab
keprop,ke-adverbialization,,yab
anonmlz,ano-nominalization,,yab
ninmlz,ni-nominalization,,yab
minmlz,mï-nominalization,,yab
petiplur,pëtï (pluractionality),,yab
yeadvz,ye-adverbialization,,yab
readvz,re-adverbialization,,yab
neadvz,ne-adverbialization,,yab
jtevbz,jtë-verbalization,,yab
podes,po (desiderative),,yab
